Dataset,LM_model,LM_output_type,Feature,Classifier,Precision,Recall,F1_score
BLOG obfuscated,BERT base,probs,Bins 0.005,GNB,0.4351145038167939,0.6195652173913043,0.5112107623318386
BLOG obfuscated,BERT base,probs,Bins 0.001,GNB,0.3319238900634249,0.5688405797101449,0.4192256341789052
BLOG obfuscated,BERT base,probs,VGG19,GNB,0.4857142857142857,0.7418181818181818,0.5870503597122302
BLOG obfuscated,BERT base,probs,Bins 0.010,GNB,0.5072046109510087,0.6376811594202898,0.565008025682183
BLOG obfuscated,BERT base,probs,Bins 0.005,KNN,0.4784394250513347,0.8442028985507246,0.6107470511140236
BLOG obfuscated,BERT base,probs,Bins 0.001,KNN,0.5274725274725275,0.8695652173913043,0.6566347469220246
BLOG obfuscated,BERT base,probs,VGG19,KNN,0.6531365313653137,0.6436363636363637,0.6483516483516484
BLOG obfuscated,BERT base,probs,Bins 0.010,KNN,0.4743326488706365,0.8369565217391305,0.6055045871559632
BLOG obfuscated,BERT base,probs,Bins 0.005,ANN,0.7050847457627119,0.7536231884057971,0.7285464098073555
BLOG obfuscated,BERT base,probs,Bins 0.001,ANN,0.6636085626911316,0.7862318840579711,0.7197346600331676
BLOG obfuscated,BERT base,probs,VGG19,ANN,0.851528384279476,0.7090909090909091,0.7738095238095238
BLOG obfuscated,BERT base,probs,Bins 0.010,ANN,0.7071428571428572,0.7173913043478259,0.7122302158273383
BLOG obfuscated,BERT base,probs,Bins 0.005,SVM,0.7574257425742574,0.5543478260869565,0.6401673640167365
BLOG obfuscated,BERT base,probs,Bins 0.001,SVM,0.8387096774193549,0.5652173913043478,0.6753246753246753
BLOG obfuscated,BERT base,probs,VGG19,SVM,0.7937743190661478,0.7418181818181818,0.7669172932330827
BLOG obfuscated,BERT base,probs,Bins 0.010,SVM,0.6787330316742082,0.5434782608695652,0.6036217303822937
BLOG obfuscated,BERT base,probs,Bins 0.005,RFC,0.7058823529411765,0.39130434782608703,0.5034965034965035
BLOG obfuscated,BERT base,probs,Bins 0.001,RFC,0.7820512820512819,0.2210144927536232,0.3446327683615819
BLOG obfuscated,BERT base,probs,VGG19,RFC,0.8073394495412844,0.64,0.713995943204868
BLOG obfuscated,BERT base,probs,Bins 0.010,RFC,0.6580310880829016,0.4601449275362319,0.5415778251599148
BLOG obfuscated,BERT base,ranks,Bins 50,GNB,0.47318611987381703,0.5434782608695652,0.5059021922428331
BLOG obfuscated,BERT base,ranks,Bins 10,GNB,0.298372513562387,0.5978260869565217,0.3980699638118215
BLOG obfuscated,BERT base,ranks,VGG19,GNB,0.6989619377162629,0.7345454545454545,0.7163120567375887
BLOG obfuscated,BERT base,ranks,Bins 100,GNB,0.5102040816326531,0.5434782608695652,0.5263157894736842
BLOG obfuscated,BERT base,ranks,Bins 50,KNN,0.5443349753694581,0.8007246376811594,0.6480938416422287
BLOG obfuscated,BERT base,ranks,Bins 10,KNN,0.5323383084577115,0.7753623188405797,0.6312684365781711
BLOG obfuscated,BERT base,ranks,VGG19,KNN,0.8238095238095238,0.6290909090909091,0.7134020618556701
BLOG obfuscated,BERT base,ranks,Bins 100,KNN,0.5885558583106267,0.7826086956521741,0.671850699844479
BLOG obfuscated,BERT base,ranks,Bins 50,ANN,0.7137404580152672,0.677536231884058,0.6951672862453532
BLOG obfuscated,BERT base,ranks,Bins 10,ANN,0.7099236641221374,0.6739130434782609,0.6914498141263941
BLOG obfuscated,BERT base,ranks,VGG19,ANN,0.8536585365853658,0.6363636363636364,0.7291666666666666
BLOG obfuscated,BERT base,ranks,Bins 100,ANN,0.7258064516129032,0.6521739130434783,0.6870229007633588
BLOG obfuscated,BERT base,ranks,Bins 50,SVM,0.8024691358024691,0.4710144927536232,0.593607305936073
BLOG obfuscated,BERT base,ranks,Bins 10,SVM,0.6683673469387755,0.4746376811594203,0.5550847457627119
BLOG obfuscated,BERT base,ranks,VGG19,SVM,0.8712871287128713,0.64,0.7379454926624739
BLOG obfuscated,BERT base,ranks,Bins 100,SVM,0.8310810810810809,0.44565217391304346,0.580188679245283
BLOG obfuscated,BERT base,ranks,Bins 50,RFC,0.8461538461538461,0.3985507246376812,0.541871921182266
BLOG obfuscated,BERT base,ranks,Bins 10,RFC,0.8275862068965517,0.2608695652173913,0.39669421487603307
BLOG obfuscated,BERT base,ranks,VGG19,RFC,0.8418367346938775,0.6,0.7006369426751591
BLOG obfuscated,BERT base,ranks,Bins 100,RFC,0.8823529411764706,0.4891304347826087,0.6293706293706294
BLOG obfuscated,BERT large,probs,Bins 0.005,GNB,0.41570438799076215,0.6521739130434783,0.5077574047954865
BLOG obfuscated,BERT large,probs,Bins 0.001,GNB,0.3264887063655031,0.5760869565217391,0.41677588466579296
BLOG obfuscated,BERT large,probs,VGG19,GNB,0.4818401937046005,0.7236363636363636,0.5784883720930233
BLOG obfuscated,BERT large,probs,Bins 0.010,GNB,0.4666666666666667,0.6847826086956522,0.5550660792951543
BLOG obfuscated,BERT large,probs,Bins 0.005,KNN,0.42057761732851984,0.8442028985507246,0.5614457831325301
BLOG obfuscated,BERT large,probs,Bins 0.001,KNN,0.4106529209621993,0.8659420289855072,0.5571095571095571
BLOG obfuscated,BERT large,probs,VGG19,KNN,0.6116838487972509,0.6472727272727272,0.6289752650176679
BLOG obfuscated,BERT large,probs,Bins 0.010,KNN,0.4343065693430657,0.8623188405797102,0.5776699029126213
BLOG obfuscated,BERT large,probs,Bins 0.005,ANN,0.6012084592145015,0.7210144927536232,0.6556836902800658
BLOG obfuscated,BERT large,probs,Bins 0.001,ANN,0.6928838951310862,0.6702898550724637,0.6813996316758748
BLOG obfuscated,BERT large,probs,VGG19,ANN,0.7563025210084033,0.6545454545454545,0.7017543859649122
